curated_chunk_id,curated_section_id,year,chunk_index,title,theme,source_type,original_start_pdf_page,original_end_pdf_page,word_count
CUR2007_S006_C031,CUR2007_S006,2007,31,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,988
CUR2007_S006_C032,CUR2007_S006,2007,32,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,988
CUR2007_S006_C033,CUR2007_S006,2007,33,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,993
CUR2007_S006_C034,CUR2007_S006,2007,34,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,991
CUR2007_S006_C035,CUR2007_S006,2007,35,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,969
CUR2007_S006_C036,CUR2007_S006,2007,36,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,982
CUR2007_S006_C037,CUR2007_S006,2007,37,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,980
CUR2007_S006_C038,CUR2007_S006,2007,38,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,988
CUR2007_S006_C039,CUR2007_S006,2007,39,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,988
CUR2007_S006_C040,CUR2007_S006,2007,40,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,990
CUR2007_S006_C041,CUR2007_S006,2007,41,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,991
CUR2007_S006_C042,CUR2007_S006,2007,42,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,968
CUR2007_S006_C043,CUR2007_S006,2007,43,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,985
CUR2007_S006_C044,CUR2007_S006,2007,44,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,978
CUR2007_S006_C045,CUR2007_S006,2007,45,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,980
CUR2007_S006_C046,CUR2007_S006,2007,46,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,985
CUR2007_S006_C047,CUR2007_S006,2007,47,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,983
CUR2007_S006_C048,CUR2007_S006,2007,48,Äldreomsorgens innehåll,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,23,156,661
CUR2008_S001_C001,CUR2008_S001,2008,1,Insatser i ordinärt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,7,7,165
CUR2008_S002_C001,CUR2008_S002,2008,1,Stöd till person som drabbats av stroke,ovrigt,legacy_title_located_in_original_report,7,7,165
CUR2008_S003_C001,CUR2008_S003,2008,1,Vård i livets slutskede,ovrigt,legacy_title_located_in_original_report,7,13,850
CUR2008_S003_C002,CUR2008_S003,2008,2,Vård i livets slutskede,ovrigt,legacy_title_located_in_original_report,7,13,855
CUR2008_S003_C003,CUR2008_S003,2008,3,Vård i livets slutskede,ovrigt,legacy_title_located_in_original_report,7,13,852
CUR2008_S003_C004,CUR2008_S003,2008,4,Vård i livets slutskede,ovrigt,legacy_title_located_in_original_report,7,13,181
CUR2008_S004_C001,CUR2008_S004,2008,1,Svensk vård och omsorg om äldre och metod,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,14,14,355
