curated_section_id,year,section_index,title,theme,source_type,semantic_source_file,original_report_file,original_start_pdf_page,original_end_pdf_page,locate_method,word_count,text_path
CUR2009_S003,2009,3,Kommunens roll och ansvar för äldreomsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2009-Kommunens roll och ansvar för äldreomsorg.pdf,source/2009.pdf,15,17,exact_near_page_start,597,data/corpus_2026/texts/curated_sections/2009/CUR2009_S003_kommunens-roll-och-ansvar-for-aldreomsorg.txt
CUR2009_S004,2009,4,Svensk vård och omsorg om äldre i ett europeiskt perspektiv,ovrigt,legacy_title_located_in_original_report,source/Data_split/2009-Svensk vård och omsorg om äldre i ett europeiskt perspektiv.pdf,source/2009.pdf,18,22,exact_near_page_start,1163,data/corpus_2026/texts/curated_sections/2009/CUR2009_S004_svensk-vard-och-omsorg-om-aldre-i-ett-europeiskt-perspektiv.txt
CUR2009_S005,2009,5,Bakgrundsmått,brukarperspektiv_och_kvalitet,legacy_title_located_in_original_report,source/Data_split/2009-Bakgrundsmått.pdf,source/2009.pdf,23,25,exact_near_page_start,722,data/corpus_2026/texts/curated_sections/2009/CUR2009_S005_bakgrundsmatt.txt
CUR2009_S006,2009,6,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2009-Resultatindikatorer.pdf,source/2009.pdf,26,166,exact_near_page_start,83276,data/corpus_2026/texts/curated_sections/2009/CUR2009_S006_resultatindikatorer.txt
CUR2010_S001,2010,1,Bakgrundsindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2010-Bakgrundsindikatorer.pdf,source/2010-12-1.pdf,7,7,exact_near_page_start,108,data/corpus_2026/texts/curated_sections/2010/CUR2010_S001_bakgrundsindikatorer.txt
CUR2010_S002,2010,2,Personal och kompetens,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2010-Personal och kompetens.pdf,source/2010-12-1.pdf,7,7,exact_near_page_start,108,data/corpus_2026/texts/curated_sections/2010/CUR2010_S002_personal-och-kompetens.txt
CUR2010_S003,2010,3,Riskfylld användning av läkemedel,lakemedel_och_patientsakerhet,legacy_title_located_in_original_report,source/Data_split/2010-Riskfylld användning av läkemedel.pdf,source/2010-12-1.pdf,7,8,exact_near_page_start,120,data/corpus_2026/texts/curated_sections/2010/CUR2010_S003_riskfylld-anvandning-av-lakemedel.txt
CUR2010_S004,2010,4,Riskförebyggande arbete,lakemedel_och_patientsakerhet,legacy_title_located_in_original_report,source/Data_split/2010-Riskförebyggande arbete.pdf,source/2010-12-1.pdf,9,9,exact_near_page_start,312,data/corpus_2026/texts/curated_sections/2010/CUR2010_S004_riskforebyggande-arbete.txt
CUR2010_S005,2010,5,Tillgänglighet,ovrigt,legacy_title_located_in_original_report,source/Data_split/2010-Tillgänglighet.pdf,source/2010-12-1.pdf,9,9,exact_near_page_start,312,data/corpus_2026/texts/curated_sections/2010/CUR2010_S005_tillganglighet.txt
CUR2010_S006,2010,6,Vprd och omsorg vid specikika behov,ovrigt,legacy_title_located_in_original_report,source/Data_split/2010-Vprd och omsorg vid specikika behov.pdf,source/2010-12-1.pdf,9,9,token_overlap_2_of_4,312,data/corpus_2026/texts/curated_sections/2010/CUR2010_S006_vprd-och-omsorg-vid-specikika-behov.txt
