report_id,year,source_file,pdf_page,word_count
R2007,2007,D:\Data\2007.pdf,116,80
R2007,2007,D:\Data\2007.pdf,117,85
R2007,2007,D:\Data\2007.pdf,118,96
R2007,2007,D:\Data\2007.pdf,119,84
R2007,2007,D:\Data\2007.pdf,120,98
R2007,2007,D:\Data\2007.pdf,121,110
R2007,2007,D:\Data\2007.pdf,122,103
R2007,2007,D:\Data\2007.pdf,123,350
R2007,2007,D:\Data\2007.pdf,124,148
R2007,2007,D:\Data\2007.pdf,125,96
R2007,2007,D:\Data\2007.pdf,126,101
R2007,2007,D:\Data\2007.pdf,127,112
R2007,2007,D:\Data\2007.pdf,128,99
R2007,2007,D:\Data\2007.pdf,129,113
R2007,2007,D:\Data\2007.pdf,130,136
R2007,2007,D:\Data\2007.pdf,131,129
R2007,2007,D:\Data\2007.pdf,132,5
R2007,2007,D:\Data\2007.pdf,133,13
R2007,2007,D:\Data\2007.pdf,134,234
R2007,2007,D:\Data\2007.pdf,135,267
R2007,2007,D:\Data\2007.pdf,136,130
R2007,2007,D:\Data\2007.pdf,137,274
R2007,2007,D:\Data\2007.pdf,138,177
R2007,2007,D:\Data\2007.pdf,139,220
R2007,2007,D:\Data\2007.pdf,140,1506
R2007,2007,D:\Data\2007.pdf,141,1506
R2007,2007,D:\Data\2007.pdf,142,1520
R2007,2007,D:\Data\2007.pdf,143,1520
R2007,2007,D:\Data\2007.pdf,144,1520
R2007,2007,D:\Data\2007.pdf,145,1519
R2007,2007,D:\Data\2007.pdf,146,1524
R2007,2007,D:\Data\2007.pdf,147,1523
R2007,2007,D:\Data\2007.pdf,148,1511
R2007,2007,D:\Data\2007.pdf,149,1510
R2007,2007,D:\Data\2007.pdf,150,1538
R2007,2007,D:\Data\2007.pdf,151,1537
R2007,2007,D:\Data\2007.pdf,152,1538
R2007,2007,D:\Data\2007.pdf,153,1538
R2007,2007,D:\Data\2007.pdf,154,459
R2007,2007,D:\Data\2007.pdf,155,459
R2007,2007,D:\Data\2007.pdf,156,188
R2008,2008,D:\Data\2008.pdf,1,14
R2008,2008,D:\Data\2008.pdf,2,71
R2008,2008,D:\Data\2008.pdf,3,8
R2008,2008,D:\Data\2008.pdf,4,0
R2008,2008,D:\Data\2008.pdf,5,281
R2008,2008,D:\Data\2008.pdf,6,182
R2008,2008,D:\Data\2008.pdf,7,163
R2008,2008,D:\Data\2008.pdf,8,175
R2008,2008,D:\Data\2008.pdf,9,407
R2008,2008,D:\Data\2008.pdf,10,534
R2008,2008,D:\Data\2008.pdf,11,466
R2008,2008,D:\Data\2008.pdf,12,183
R2008,2008,D:\Data\2008.pdf,13,493
R2008,2008,D:\Data\2008.pdf,14,353
R2008,2008,D:\Data\2008.pdf,15,115
R2008,2008,D:\Data\2008.pdf,16,386
R2008,2008,D:\Data\2008.pdf,17,400
R2008,2008,D:\Data\2008.pdf,18,167
R2008,2008,D:\Data\2008.pdf,19,214
R2008,2008,D:\Data\2008.pdf,20,161
R2008,2008,D:\Data\2008.pdf,21,296
